timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Inicio de Sesion (ms),IdleTime,Connect,Agregar Registro (ms),Modificar registro (ms),Eliminar Registro (ms)
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-78,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,15,9,3
1,61076E+12,8,HTTP Request,200,OK,Thread Group 1-79,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,8,0,0,8,5,8
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-80,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,12,6,4
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-81,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,0,12,9,7
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-82,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,12,5,9
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-83,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,0,10,6,4
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-84,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,11,10,9
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-85,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,0,12,8,9
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-86,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,0,9,6,7
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-87,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,5,10,10
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-88,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,6,9,4
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-89,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,0,14,9,7
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-90,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,0,11,9,7
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-91,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,10,7,5
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-92,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,11,5,6
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-93,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,1,9,8,4
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-94,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,0,6,5,9
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-95,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,11,8,9
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-96,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,5,6,5
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-97,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,12,5,8
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-98,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,10,9,5
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-99,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,8,10,8
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-100,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,7,5,10
